ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_ID,Map_Name
1,Acaxee,,,,cahi1243,traditional,haynie2019modern,features,Fig. 1
2,Achumawi,,,,achu1247,traditional,haynie2019modern,features,Fig. 1
3,Acoma,,,,west2632,traditional,haynie2019modern,features,Fig. 1
4,Adai,,,,adai1235,traditional,haynie2019modern,features,Fig. 1
5,Ahtna,,,,ahte1237,traditional,haynie2019modern,features,Fig. 1
6,Ais,,,,,traditional,haynie2019modern,features,Fig. 1
7,Akimel O'odham,,,,akim1239,traditional,haynie2019modern,features,Fig. 1
8,Alabama,,,,alab1237,traditional,haynie2019modern,features,Fig. 1
9,Alafay,,,,,traditional,haynie2019modern,features,Fig. 1
10,Aleut,,,,aleu1260,traditional,haynie2019modern,features,Fig. 1
11,Algonquin,,,,algo1255,traditional,haynie2019modern,features,Fig. 1
12,Amuzgoan,,,,amuz1254,traditional,haynie2019modern,features,Fig. 1
13,Apalachee,,,,apal1237,traditional,haynie2019modern,features,Fig. 1
14,Aranama,,,,aran1265,traditional,haynie2019modern,features,Fig. 1
15,Arapaho,,,,arap1274,traditional,haynie2019modern,features,Fig. 1
16,Arikara,,,,arik1262,traditional,haynie2019modern,features,Fig. 1
17,Assiniboine,,,,assi1247,traditional,haynie2019modern,features,Fig. 1
18,Atakapa,,,,atak1252,traditional,haynie2019modern,features,Fig. 1
19,Atikamekw,,,,atik1240,traditional,haynie2019modern,features,Fig. 1
20,Atsugewi,,,,atsu1245,traditional,haynie2019modern,features,Fig. 1
21,Atzingo Matlatzinca,,,,atzi1235,traditional,haynie2019modern,features,Fig. 1
22,Avoyel,,,,,traditional,haynie2019modern,features,Fig. 1
23,Babine,,,,babi1235,traditional,haynie2019modern,features,Fig. 1
24,Barbareño,,,,barb1263,traditional,haynie2019modern,features,Fig. 1
25,Beaver,,,,beav1236,traditional,haynie2019modern,features,Fig. 1
26,Bella Coola,,,,bell1243,traditional,haynie2019modern,features,Fig. 1
27,Bidai,,,,bida1238,traditional,haynie2019modern,features,Fig. 1
28,Biloxi,,,,bilo1248,traditional,haynie2019modern,features,Fig. 1
29,Boruca,,,,boru1252,traditional,haynie2019modern,features,Fig. 1
30,Bribri,,,,brib1243,traditional,haynie2019modern,features,Fig. 1
31,Buena Vista Yokuts,,,,buen1244,traditional,haynie2019modern,features,Fig. 1
32,Buglere,,,,bugl1243,traditional,haynie2019modern,features,Fig. 1
