ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
achu1247,Achumawi,,41.0979,-121.191,achu1247,,2,language,Palaihnihan,languages
adai1235,Adai,,31.6314,-92.0059,adai1235,,4,language,,languages
ahte1237,Ahtena,,61.7068,-144.889,ahte1237,,5,language,Athabaskan-Eyak-Tlingit,languages
alab1237,Alabama,,30.76738,-94.62848,alab1237,,8,language,Muskogean,languages
aleu1260,Aleut,,52.1228,-174.29,aleu1260,,10,language,Eskimo-Aleut,languages
algo1255,Algonquin,,47.3876,-77.5258,algo1255,,11,language,Algic,languages
apal1237,Apalachee,,30.118,-84.416,apal1237,,13,language,Muskogean,languages
aran1265,Aranama,,28.65425,-97.38526,aran1265,,14,language,Unclassifiable,languages
arap1274,Arapaho,,43.3879,-108.81,arap1274,,15,language,Algic,languages
arik1262,Arikara,,45.0,-100.0,arik1262,,16,language,Caddoan,languages
assi1247,Assiniboine,,49.2923,-106.068,assi1247,,17,language,Siouan,languages
atak1252,Atakapa,,30.9121,-93.0827,atak1252,,18,language,,languages
atik1240,Atikamekw,,47.9555,-73.7989,atik1240,,19,language,Algic,languages
atsu1245,Atsugewi,,40.4271,-120.661,atsu1245,,20,language,Palaihnihan,languages
atzi1235,Atzingo Matlatzinca,,19.3871,-99.9239,atzi1235,,21,language,Otomanguean,languages
babi1235,Witsuwit'en-Babine,,55.0997,-126.41,babi1235,,23,language,Athabaskan-Eyak-Tlingit,languages
barb1263,Barbareño,,34.462,-119.699,barb1263,,24,language,Chumashan,languages
beav1236,Beaver,,56.7984,-120.352,beav1236,,25,language,Athabaskan-Eyak-Tlingit,languages
bell1243,Bella Coola,,52.3448,-126.689,bell1243,,26,language,Salishan,languages
bida1238,Bidai,,,,bida1238,,27,language,Unclassifiable,languages
bilo1248,Biloxi,,31.32,-89.1951,bilo1248,,28,language,Siouan,languages
boru1252,Boruca,,8.88093,-83.2124,boru1252,,29,language,Chibchan,languages
brib1243,Bribri,,9.39794,-83.0539,brib1243,,30,language,Chibchan,languages
buen1244,Buena Vista Yokuts,,35.22038,-119.23748,buen1244,,31,language,Yokutsan,languages
bugl1243,Buglere,,8.57695,-81.25648,bugl1243,,32,language,Chibchan,languages
cabe1245,Cabécar,,9.67031,-83.4102,cabe1245,,33,language,Chibchan,languages
caca1247,Cacaopera,,13.7437,-88.1133,caca1247,,34,language,Misumalpan,languages
cadd1256,Caddo,,33.33,-93.5,cadd1256,,35,language,Caddoan,languages
cahu1264,Cahuilla,,33.5324,-116.691,cahu1264,,36,language,Uto-Aztecan,languages
calu1239,Calusa,,,,calu1239,,37,language,Unclassifiable,languages
caro1243,Carolina Algonquian,,35.979,-77.291,caro1243,,39,language,Algic,languages
carr1249,Central Carrier,,54.3768,-124.328,carr1249,,40,language,Athabaskan-Eyak-Tlingit,languages
cata1286,Catawba,,34.9685,-80.8857,cata1286,,41,language,Siouan,languages
cayu1241,Cayuse,,46.1136,-117.94,cayu1241,,42,language,,languages
cent2127,Central Alaskan Yupik,,60.3062,-161.486,cent2127,,43,language,Eskimo-Aleut,languages
cent2140,Central Sierra Miwok,,38.0812,-120.257,cent2140,,48,language,Miwok-Costanoan,languages
cent2144,Central Mazahua,,19.7357,-100.018,cent2144,,46,language,Otomanguean,languages
cher1273,Cherokee,,35.4664,-83.163,cher1273,,53,language,Iroquoian,languages
chey1247,Cheyenne,,45.5321,-106.659,chey1247,,54,language,Algic,languages
chia1262,Chiapanec,,16.6562,-91.9417,chia1262,,55,language,Otomanguean,languages
chic1270,Chickasaw,,34.0,-88.0,chic1270,,57,language,Muskogean,languages
chic1271,Chicomuceltec,,15.6078,-91.2869,chic1271,,58,language,Mayan,languages
chil1280,Chilcotin-Nicola,,51.98952,-123.24458,chil1280,,59 234,language,Athabaskan-Eyak-Tlingit,languages
chim1310,Chimakum,,47.91457,-123.139145,chim1310,,52,language,Chimakuan,languages
chin1286,Clatsop-Shoalwater Chinook,,46.39132,-123.9249,chin1286,,189,language,Chinookan,languages
chip1241,Chippewa,,47.347,-94.2738,chip1241,,49,language,Algic,languages
chip1261,Chipewyan,,58.98,-104.44,chip1261,,61,language,Athabaskan-Eyak-Tlingit,languages
chit1248,Chitimacha,,30.3386,-90.9123,chit1248,,63,language,,languages
choc1276,Choctaw,,32.25,-88.5,choc1276,,65,language,Muskogean,languages
choc1279,Chochotec,,17.666,-97.2388,choc1279,,64,language,Otomanguean,languages
chol1282,Chol,,17.4897,-92.4698,chol1282,,66,language,Mayan,languages
chol1283,Cholti,,15.5,-89.0,chol1283,,67,language,Mayan,languages
chor1273,Ch'orti',,14.818,-89.2363,chor1273,,68,language,Mayan,languages
chuj1250,Chuj,,15.8399,-91.76,chuj1250,,69,language,Mayan,languages
clal1241,Clallam,,48.0707,-123.511,clal1241,,71,language,Salishan,languages
coah1252,Coahuilteco,,28.2589,-97.89,coah1252,,73,language,,languages
coas1301,Coast Miwok,,38.3285,-122.994,coas1301,,74,language,Miwok-Costanoan,languages
coat1240,Coatepec Nahuatl,,18.32,-99.7114,coat1240,,76,language,Uto-Aztecan,languages
coch1272,Cochimi,,29.04,-114.077,coch1272,,78,language,Cochimi-Yuman,languages
coco1261,Cocopa,,32.376,-114.848,coco1261,,79,language,Cochimi-Yuman,languages
coeu1236,Coeur d'Alene,,47.2958,-116.715,coeu1236,,80,language,Salishan,languages
colu1241,Columbia-Wenatchi,,48.217,-118.454,colu1241,,81,language,Salishan,languages
coma1245,Comanche,,34.0,-101.0,coma1245,,82,language,Uto-Aztecan,languages
come1251,Comecrudan,,26.1333,-98.4667,come1251,,84,language,,languages
como1259,Comox,,49.7233,-124.967,como1259,,85,language,Salishan,languages
conc1237,Concho,,,,conc1237,,86,language,Unclassifiable,languages
coto1248,Cotoname,,25.9116,-97.3956,coto1248,,88,language,,languages
cowl1242,Cowlitz,,46.4167,-122.917,cowl1242,,89,language,Salishan,languages
cree1270,Creek,,31.0,-87.5,cree1270,,90,language,Muskogean,languages
crow1244,Crow,,45.368,-107.874,crow1244,,91,language,Siouan,languages
cruz1243,Cruzeño,,34.0465,-119.864,cruz1243,,146,language,Chumashan,languages
cuit1236,Cuitlatec,,18.1,-100.5,cuit1236,,93,language,,languages
cusa1237,Cusabo,,,,cusa1237,,94,language,Unclassifiable,languages
dako1258,Dakota,,45.86,-96.58,dako1258,,95,language,Siouan,languages
dege1248,Degexit'an,,62.0697,-160.044,dege1248,,96,language,Athabaskan-Eyak-Tlingit,languages
diti1235,Ditidaht,,48.67,-124.75,diti1235,,97,language,Wakashan,languages
dogr1252,Dogrib,,63.17,-117.25,dogr1252,,98,language,Athabaskan-Eyak-Tlingit,languages
dora1242,Dorasque,,8.567442,-82.375717,dora1242,,99,language,Chibchan,languages
east1472,Eastern Keres,,35.5216,-106.453,east1472,,105,language,Keresan,languages
east2534,Eastern Canadian Inuktitut,,62.1735,-75.6139,east2534,,102,language,Eskimo-Aleut,languages
east2542,Eastern Ojibwa,,45.0112,-79.7503,east2542,,107,language,Algic,languages
east2544,Eastern Abenaki,,45.0112,-68.6617,east2544,,101,language,Algic,languages
east2545,Eastern Pomo,,38.5647,-122.586,east2545,,108,language,Pomoan,languages
east2556,Eastern Highland Otomi,,20.5991,-98.0978,east2556,,104,language,Otomanguean,languages
east2695,Eastern Durango Nahuatl,,22.676,-104.6259,east2695,,103,language,Uto-Aztecan,languages
esse1238,Esselen,,36.5473,-121.867,esse1238,,110,language,,languages
eude1234,Eudeve,,28.5,-110.0,eude1234,,111,language,Uto-Aztecan,languages
eyak1241,Eyak,,60.4232,-144.762,eyak1241,,112,language,Athabaskan-Eyak-Tlingit,languages
gali1261,Galice,,42.56343,-123.5854,gali1261,,115,language,Athabaskan-Eyak-Tlingit,languages
gitx1241,Gitxsan,,55.09,-128.08,gitx1241,,228,language,Tsimshian,languages
gros1243,Gros Ventre,,48.4834,-108.738,gros1243,,116,language,Algic,languages
guai1237,Guaicurian,,24.1666666667,-110.3,guai1237,,118,language,,languages
gual1239,Guale,,,,gual1239,,119,language,Unattested,languages
gwic1235,Gwich'in,,67.4307,-142.963,gwic1235,,123,language,Athabaskan-Eyak-Tlingit,languages
hais1244,Haisla,,53.964,-128.602,hais1244,,125,language,Wakashan,languages
halk1245,Halkomelem,,49.250402,-122.443668,halk1245,,126,language,Salishan,languages
hann1241,Han,,64.5002,-140.352,hann1241,,127,language,Athabaskan-Eyak-Tlingit,languages
hava1248,Havasupai-Walapai-Yavapai,,35.6302,-113.385,hava1248,,128,language,Cochimi-Yuman,languages
heil1246,Heiltsuk-Oowekyala,,51.7045,-127.221,heil1246,,129,language,Wakashan,languages
hida1246,Hidatsa,,47.33,-102.0,hida1246,,130,language,Siouan,languages
hoch1243,Ho-Chunk,,43.5,-88.5,hoch1243,,132,language,Siouan,languages
holi1241,Holikachuk,,62.7266,-159.831,holi1241,,133,language,Athabaskan-Eyak-Tlingit,languages
hopi1249,Hopi,,35.7653,-110.535,hopi1249,,134,language,Uto-Aztecan,languages
huar1255,Huarijio,,27.8685,-108.437,huar1255,,120,language,Uto-Aztecan,languages
huas1242,Huastec,,21.6153,-98.5028,huas1242,,136,language,Mayan,languages
huic1243,Huichol,,21.954,-104.062,huic1243,,138,language,Uto-Aztecan,languages
hupa1239,Hupa-Chilula,,41.0982,-123.68,hupa1239,,140,language,Athabaskan-Eyak-Tlingit,languages
ines1240,Ineseño,,34.6169,-120.08,ines1240,,142,language,Chumashan,languages
iowa1245,Iowa-Oto,,40.0511,-95.5213,iowa1245,,144,language,Siouan,languages
ipai1240,Ipai,,33.005,-116.993,ipai1240,,145,language,Cochimi-Yuman,languages
itza1241,Itza',,17.0269,-89.8734,itza1241,,147,language,Mayan,languages
ixil1251,Ixil,,15.4569,-90.8935,ixil1251,,148,language,Mayan,languages
ixte1237,Ixtenco Otomi,,19.2146,-98.0272,ixte1237,,149,language,Otomanguean,languages
jeme1245,Towa,,35.5994,-106.766,jeme1245,,375,language,Kiowa-Tanoan,languages
jica1244,Jicarilla Apache,,36.8079,-107.007,jica1244,,152,language,Athabaskan-Eyak-Tlingit,languages
juma1248,Jumano,,29.52316,-104.39797,juma1248,,153,language,Unattested,languages
kala1400,Central Kalapuya,,44.9861,-123.925,kala1400,,155,language,Kalapuyan,languages
kali1308,Kalispel-Pend d'Oreille,,47.5825,-114.19,kali1308,,156,language,Salishan,languages
kans1243,Kansa,,39.0,-94.4,kans1243,,157,language,Siouan,languages
kaqc1270,Kaqchikel,,14.4662,-90.9881,kaqc1270,,158,language,Mayan,languages
kara1289,Karankawa,,28.9082,-96.4856,kara1289,,159,language,,languages
kark1259,Karkin,,38.01944,-122.13417,kark1259,,160,language,Miwok-Costanoan,languages
karo1304,Karuk,,41.8228,-123.315,karo1304,,161,language,,languages
kask1239,Kaska,,61.0,-130.0,kask1239,,162,language,Athabaskan-Eyak-Tlingit,languages
kath1253,Kathlamet,,46.197,-123.56,kath1253,,164,language,Chinookan,languages
kato1244,Kato,,39.7002,-123.432,kato1244,,165,language,Athabaskan-Eyak-Tlingit,languages
