id,name,glottocode,year,map_name_full,note,year_comment
1,Acaxee,cahi1243,traditional,Fig. 1,,Time of European Contact
2,Achumawi,achu1247,traditional,Fig. 1,,Time of European Contact
3,Acoma,west2632,traditional,Fig. 1,,Time of European Contact
4,Adai,adai1235,traditional,Fig. 1,,Time of European Contact
5,Ahtna,ahte1237,traditional,Fig. 1,,Time of European Contact
6,Ais,,traditional,Fig. 1,,Time of European Contact
7,Akimel O'odham,akim1239,traditional,Fig. 1,,Time of European Contact
8,Alabama,alab1237,traditional,Fig. 1,,Time of European Contact
9,Alafay,,traditional,Fig. 1,,Time of European Contact
10,Aleut,aleu1260,traditional,Fig. 1,,Time of European Contact
11,Algonquin,algo1255,traditional,Fig. 1,,Time of European Contact
12,Amuzgoan,amuz1254,traditional,Fig. 1,,Time of European Contact
13,Apalachee,apal1237,traditional,Fig. 1,,Time of European Contact
14,Aranama,aran1265,traditional,Fig. 1,,Time of European Contact
15,Arapaho,arap1274,traditional,Fig. 1,,Time of European Contact
16,Arikara,arik1262,traditional,Fig. 1,,Time of European Contact
17,Assiniboine,assi1247,traditional,Fig. 1,,Time of European Contact
18,Atakapa,atak1252,traditional,Fig. 1,,Time of European Contact
19,Atikamekw,atik1240,traditional,Fig. 1,,Time of European Contact
20,Atsugewi,atsu1245,traditional,Fig. 1,,Time of European Contact
21,Atzingo Matlatzinca,atzi1235,traditional,Fig. 1,,Time of European Contact
22,Avoyel,,traditional,Fig. 1,,Time of European Contact
23,Babine,babi1235,traditional,Fig. 1,,Time of European Contact
24,Barbareño,barb1263,traditional,Fig. 1,,Time of European Contact
25,Beaver,beav1236,traditional,Fig. 1,,Time of European Contact
26,Bella Coola,bell1243,traditional,Fig. 1,,Time of European Contact
27,Bidai,bida1238,traditional,Fig. 1,,Time of European Contact
28,Biloxi,bilo1248,traditional,Fig. 1,,Time of European Contact
29,Boruca,boru1252,traditional,Fig. 1,,Time of European Contact
30,Bribri,brib1243,traditional,Fig. 1,,Time of European Contact
31,Buena Vista Yokuts,buen1244,traditional,Fig. 1,,Time of European Contact
32,Buglere,bugl1243,traditional,Fig. 1,,Time of European Contact
33,Cabécar,cabe1245,traditional,Fig. 1,,Time of European Contact
34,Cacaopera,,traditional,Fig. 1,,Time of European Contact
35,Caddo,cadd1256,traditional,Fig. 1,,Time of European Contact
36,Cahuilla,cahu1264,traditional,Fig. 1,,Time of European Contact
37,Calusa,calu1239,traditional,Fig. 1,,Time of European Contact
38,Carizo,,traditional,Fig. 1,,Time of European Contact
39,Carolina Algonquian,caro1243,traditional,Fig. 1,,Time of European Contact
40,Carrier,carr1249,traditional,Fig. 1,,Time of European Contact
41,Catawba,cata1286,traditional,Fig. 1,,Time of European Contact
42,Cayuse,cayu1241,traditional,Fig. 1,,Time of European Contact
43,Central Alaskan Yupik,cent2127,traditional,Fig. 1,,Time of European Contact
44,Central Baja Mixtec,cent2266,traditional,Fig. 1,,Time of European Contact
45,Central Core Zapotec,cent2146,traditional,Fig. 1,,Time of European Contact
46,Central Mazahua,cent2144,traditional,Fig. 1,,Time of European Contact
47,Central Nahuatl,cent2258,traditional,Fig. 1,,Time of European Contact
48,Central Sierra Miwok,cent2140,traditional,Fig. 1,,Time of European Contact
49,Central Southern Ojibwa,chip1241,traditional,Fig. 1,,Time of European Contact
50,Chacato,,traditional,Fig. 1,,Time of European Contact
51,Chatino,chat1268,traditional,Fig. 1,,Time of European Contact
52,Chemakum,chim1310,traditional,Fig. 1,,Time of European Contact
53,Cherokee,cher1273,traditional,Fig. 1,,Time of European Contact
54,Cheyenne,chey1247,traditional,Fig. 1,,Time of European Contact
55,Chiapanec,chia1262,traditional,Fig. 1,,Time of European Contact
56,Chiapas Zoque,chia1261,traditional,Fig. 1,,Time of European Contact
57,Chickasaw,chic1270,traditional,Fig. 1,,Time of European Contact
